z,dz,e,ei,u
5.428,-0.428,-0.000,0.178,0.535
5.424,-0.424,-0.000,0.178,0.535
5.420,-0.420,-0.000,0.178,0.535
5.415,-0.415,-0.000,0.178,0.535
5.411,-0.411,-0.000,0.178,0.535
5.407,-0.407,-0.000,0.178,0.534
5.403,-0.403,-0.000,0.178,0.534
5.399,-0.399,-0.000,0.178,0.534
5.395,-0.395,-0.000,0.178,0.534
5.391,-0.391,-0.000,0.178,0.534
5.387,-0.387,-0.000,0.178,0.534
5.383,-0.383,-0.000,0.178,0.534
5.380,-0.380,-0.000,0.178,0.534
5.376,-0.376,-0.000,0.178,0.534
5.372,-0.372,-0.000,0.178,0.534
5.368,-0.368,-0.000,0.178,0.533
5.365,-0.365,-0.000,0.178,0.533
5.361,-0.361,-0.000,0.178,0.533
5.357,-0.357,-0.000,0.178,0.533
5.354,-0.354,-0.000,0.178,0.533
5.350,-0.350,-0.000,0.178,0.533
5.347,-0.347,-0.000,0.178,0.533
5.343,-0.343,-0.000,0.178,0.533
5.340,-0.340,-0.000,0.178,0.533
5.336,-0.336,-0.000,0.178,0.533
5.333,-0.333,-0.000,0.177,0.532
5.330,-0.330,-0.000,0.177,0.532
5.326,-0.326,-0.000,0.177,0.532
5.323,-0.323,-0.000,0.177,0.532
5.320,-0.320,-0.000,0.177,0.532
5.317,-0.317,-0.000,0.177,0.532
5.314,-0.314,-0.000,0.177,0.532
5.310,-0.310,-0.000,0.177,0.532
5.307,-0.307,-0.000,0.177,0.532
5.304,-0.304,-0.000,0.177,0.532
5.301,-0.301,-0.000,0.177,0.532
5.298,-0.298,-0.000,0.177,0.532
5.295,-0.295,-0.000,0.177,0.532
5.292,-0.292,-0.000,0.177,0.531
5.289,-0.289,-0.000,0.177,0.531
5.286,-0.286,-0.000,0.177,0.531
5.284,-0.284,-0.000,0.177,0.531
5.281,-0.281,-0.000,0.177,0.531
5.278,-0.278,-0.000,0.177,0.531
5.275,-0.275,-0.000,0.177,0.531
5.272,-0.272,-0.000,0.177,0.531
5.270,-0.270,-0.000,0.177,0.531
5.267,-0.267,-0.000,0.177,0.531
5.264,-0.264,-0.000,0.177,0.531
5.262,-0.262,-0.000,0.177,0.531
5.259,-0.259,-0.000,0.177,0.531
5.256,-0.256,-0.000,0.177,0.530
5.254,-0.254,-0.000,0.177,0.530
5.251,-0.251,-0.000,0.177,0.530
5.249,-0.249,-0.000,0.177,0.530
5.246,-0.246,-0.000,0.177,0.530
5.244,-0.244,-0.000,0.177,0.530
5.241,-0.241,-0.000,0.177,0.530
5.239,-0.239,-0.000,0.177,0.530
5.237,-0.237,-0.000,0.177,0.530
5.234,-0.234,-0.000,0.177,0.530
5.232,-0.232,-0.000,0.177,0.530
5.230,-0.230,-0.000,0.177,0.530
5.227,-0.227,-0.000,0.177,0.530
5.225,-0.225,-0.000,0.177,0.530
5.223,-0.223,-0.000,0.177,0.530
5.221,-0.221,-0.000,0.177,0.530
5.218,-0.218,-0.000,0.176,0.529
5.216,-0.216,-0.000,0.176,0.529
5.214,-0.214,-0.000,0.176,0.529
5.212,-0.212,-0.000,0.176,0.529
5.210,-0.210,-0.000,0.176,0.529
5.208,-0.208,-0.000,0.176,0.529
5.206,-0.206,-0.000,0.176,0.529
5.204,-0.204,-0.000,0.176,0.529
5.202,-0.202,-0.000,0.176,0.529
5.200,-0.199,-0.000,0.176,0.529
5.198,-0.197,-0.000,0.176,0.529
5.196,-0.196,-0.000,0.176,0.529
5.194,-0.194,-0.000,0.176,0.529
5.192,-0.192,-0.000,0.176,0.529
5.190,-0.190,-0.000,0.176,0.529
5.188,-0.188,-0.000,0.176,0.529
5.186,-0.186,-0.000,0.176,0.529
5.184,-0.184,-0.000,0.176,0.529
5.182,-0.182,-0.000,0.176,0.529
5.180,-0.180,-0.000,0.176,0.528
5.179,-0.179,-0.000,0.176,0.528
5.177,-0.177,-0.000,0.176,0.528
5.175,-0.175,-0.000,0.176,0.528
5.173,-0.173,-0.000,0.176,0.528
5.172,-0.172,-0.000,0.176,0.528
5.170,-0.170,-0.000,0.176,0.528
5.168,-0.168,-0.000,0.176,0.528
5.166,-0.166,-0.000,0.176,0.528
5.165,-0.165,-0.000,0.176,0.528
5.163,-0.163,-0.000,0.176,0.528
5.162,-0.162,-0.000,0.176,0.528
5.160,-0.160,-0.000,0.176,0.528
5.158,-0.158,-0.000,0.176,0.528
5.157,-0.157,-0.000,0.176,0.528
5.155,-0.155,-0.000,0.176,0.528
5.154,-0.154,-0.000,0.176,0.528
5.152,-0.152,-0.000,0.176,0.528
5.151,-0.151,-0.000,0.176,0.528
5.149,-0.149,-0.000,0.176,0.528
5.148,-0.148,-0.000,0.176,0.528
5.146,-0.146,-0.000,0.176,0.528
5.145,-0.145,-0.000,0.176,0.528
5.143,-0.143,-0.000,0.176,0.527
5.142,-0.142,-0.000,0.176,0.527
5.140,-0.140,-0.000,0.176,0.527
5.139,-0.139,-0.000,0.176,0.527
5.138,-0.138,-0.000,0.176,0.527
5.136,-0.136,-0.000,0.176,0.527
5.135,-0.135,-0.000,0.176,0.527
5.133,-0.133,-0.000,0.176,0.527
5.132,-0.132,-0.000,0.176,0.527
5.131,-0.131,-0.000,0.176,0.527
5.130,-0.129,-0.000,0.176,0.527
5.128,-0.128,-0.000,0.176,0.527
5.127,-0.127,-0.000,0.176,0.527
5.126,-0.126,-0.000,0.176,0.527
5.124,-0.124,-0.000,0.176,0.527
5.123,-0.123,-0.000,0.176,0.527
5.122,-0.122,-0.000,0.176,0.527
5.121,-0.121,-0.000,0.176,0.527
5.119,-0.119,-0.000,0.176,0.527
5.118,-0.118,-0.000,0.176,0.527
5.117,-0.117,-0.000,0.176,0.527
5.116,-0.116,-0.000,0.176,0.527
5.115,-0.115,-0.000,0.176,0.527
5.114,-0.114,-0.000,0.176,0.527
5.113,-0.112,-0.000,0.176,0.527
5.111,-0.111,-0.000,0.176,0.527
5.110,-0.110,-0.000,0.176,0.527
5.109,-0.109,-0.000,0.176,0.527
5.108,-0.108,-0.000,0.176,0.527
5.107,-0.107,-0.000,0.176,0.527
5.106,-0.106,-0.000,0.176,0.526
5.105,-0.105,-0.000,0.175,0.526
5.104,-0.104,-0.000,0.175,0.526
5.103,-0.103,-0.000,0.175,0.526
5.102,-0.102,-0.000,0.175,0.526
5.101,-0.101,-0.000,0.175,0.526
5.100,-0.100,-0.000,0.175,0.526
5.099,-0.099,-0.000,0.175,0.526
5.098,-0.098,-0.000,0.175,0.526
5.097,-0.097,-0.000,0.175,0.526
5.096,-0.096,-0.000,0.175,0.526
5.095,-0.095,-0.000,0.175,0.526
5.094,-0.094,-0.000,0.175,0.526
5.093,-0.093,-0.000,0.175,0.526
5.092,-0.092,-0.000,0.175,0.526
5.091,-0.091,-0.000,0.175,0.526
5.090,-0.090,-0.000,0.175,0.526
5.089,-0.089,-0.000,0.175,0.526
5.088,-0.088,-0.000,0.175,0.526
5.088,-0.088,-0.000,0.175,0.526
5.087,-0.087,-0.000,0.175,0.526
5.086,-0.086,-0.000,0.175,0.526
5.085,-0.085,-0.000,0.175,0.526
5.084,-0.084,-0.000,0.175,0.526
5.083,-0.083,-0.000,0.175,0.526
5.082,-0.082,-0.000,0.175,0.526
5.082,-0.082,-0.000,0.175,0.526
5.081,-0.081,-0.000,0.175,0.526
5.080,-0.080,-0.000,0.175,0.526
5.079,-0.079,-0.000,0.175,0.526
5.078,-0.078,-0.000,0.175,0.526
5.078,-0.078,-0.000,0.175,0.526
5.077,-0.077,-0.000,0.175,0.526
5.076,-0.076,-0.000,0.175,0.526
5.075,-0.075,-0.000,0.175,0.526
5.075,-0.075,-0.000,0.175,0.526
5.074,-0.074,-0.000,0.175,0.526
5.073,-0.073,-0.000,0.175,0.526
5.072,-0.072,-0.000,0.175,0.526
5.072,-0.072,-0.000,0.175,0.526
5.071,-0.071,-0.000,0.175,0.526
5.070,-0.070,-0.000,0.175,0.526
5.069,-0.069,-0.000,0.175,0.526
5.069,-0.069,-0.000,0.175,0.526
5.068,-0.068,-0.000,0.175,0.525
5.067,-0.067,-0.000,0.175,0.525
5.067,-0.067,-0.000,0.175,0.525
5.066,-0.066,-0.000,0.175,0.525
5.065,-0.065,-0.000,0.175,0.525
5.065,-0.065,-0.000,0.175,0.525
5.064,-0.064,-0.000,0.175,0.525
5.063,-0.063,-0.000,0.175,0.525
5.063,-0.063,-0.000,0.175,0.525
5.062,-0.062,-0.000,0.175,0.525
5.062,-0.062,-0.000,0.175,0.525
5.061,-0.061,-0.000,0.175,0.525
5.060,-0.060,-0.000,0.175,0.525
5.060,-0.060,-0.000,0.175,0.525
5.059,-0.059,-0.000,0.175,0.525
5.059,-0.059,-0.000,0.175,0.525
5.058,-0.058,-0.000,0.175,0.525
5.057,-0.057,-0.000,0.175,0.525
5.057,-0.057,-0.000,0.175,0.525
5.056,-0.056,-0.000,0.175,0.525
5.056,-0.056,-0.000,0.175,0.525
5.055,-0.055,-0.000,0.175,0.525
5.055,-0.055,-0.000,0.175,0.525
5.054,-0.054,-0.000,0.175,0.525
5.053,-0.053,-0.000,0.175,0.525
5.053,-0.053,-0.000,0.175,0.525
5.052,-0.052,-0.000,0.175,0.525
5.052,-0.052,-0.000,0.175,0.525
5.051,-0.051,-0.000,0.175,0.525
5.051,-0.051,-0.000,0.175,0.525
5.050,-0.050,-0.000,0.175,0.525
5.050,-0.050,-0.000,0.175,0.525
5.049,-0.049,-0.000,0.175,0.525
5.049,-0.049,-0.000,0.175,0.525
5.048,-0.048,-0.000,0.175,0.525
5.048,-0.048,-0.000,0.175,0.525
5.047,-0.047,-0.000,0.175,0.525
5.047,-0.047,-0.000,0.175,0.525
5.046,-0.046,-0.000,0.175,0.525
5.046,-0.046,-0.000,0.175,0.525
5.046,-0.046,-0.000,0.175,0.525
5.045,-0.045,-0.000,0.175,0.525
5.045,-0.045,-0.000,0.175,0.525
5.044,-0.044,-0.000,0.175,0.525
5.044,-0.044,-0.000,0.175,0.525
5.043,-0.043,-0.000,0.175,0.525
5.043,-0.043,-0.000,0.175,0.525
5.042,-0.042,-0.000,0.175,0.525
5.042,-0.042,-0.000,0.175,0.525
5.042,-0.042,-0.000,0.175,0.525
5.041,-0.041,-0.000,0.175,0.525
