z,dz,e,ei,u
5.350,-0.350,-0.000,0.178,0.533
5.346,-0.346,-0.000,0.178,0.533
5.343,-0.343,-0.000,0.178,0.533
5.339,-0.339,-0.000,0.178,0.533
5.336,-0.336,-0.000,0.178,0.533
5.332,-0.332,-0.000,0.177,0.532
5.329,-0.329,-0.000,0.177,0.532
5.326,-0.326,-0.000,0.177,0.532
5.323,-0.323,-0.000,0.177,0.532
5.319,-0.319,-0.000,0.177,0.532
5.316,-0.316,-0.000,0.177,0.532
5.313,-0.313,-0.000,0.177,0.532
5.310,-0.310,-0.000,0.177,0.532
5.307,-0.307,-0.000,0.177,0.532
5.304,-0.304,-0.000,0.177,0.532
5.301,-0.301,-0.000,0.177,0.532
5.298,-0.298,-0.000,0.177,0.532
5.295,-0.295,-0.000,0.177,0.532
5.292,-0.292,-0.000,0.177,0.531
5.289,-0.289,-0.000,0.177,0.531
5.286,-0.286,-0.000,0.177,0.531
5.283,-0.283,-0.000,0.177,0.531
5.280,-0.280,-0.000,0.177,0.531
5.277,-0.277,-0.000,0.177,0.531
5.275,-0.275,-0.000,0.177,0.531
5.272,-0.272,-0.000,0.177,0.531
5.269,-0.269,-0.000,0.177,0.531
5.266,-0.266,-0.000,0.177,0.531
5.264,-0.264,-0.000,0.177,0.531
5.261,-0.261,-0.000,0.177,0.531
5.259,-0.259,-0.000,0.177,0.531
5.256,-0.256,-0.000,0.177,0.530
5.253,-0.253,-0.000,0.177,0.530
5.251,-0.251,-0.000,0.177,0.530
5.248,-0.248,-0.000,0.177,0.530
5.246,-0.246,-0.000,0.177,0.530
5.243,-0.243,-0.000,0.177,0.530
5.241,-0.241,-0.000,0.177,0.530
5.239,-0.239,-0.000,0.177,0.530
5.236,-0.236,-0.000,0.177,0.530
5.234,-0.234,-0.000,0.177,0.530
5.232,-0.231,-0.000,0.177,0.530
5.229,-0.229,-0.000,0.177,0.530
5.227,-0.227,-0.000,0.177,0.530
5.225,-0.225,-0.000,0.177,0.530
5.222,-0.222,-0.000,0.177,0.530
5.220,-0.220,-0.000,0.177,0.530
5.218,-0.218,-0.000,0.176,0.529
5.216,-0.216,-0.000,0.176,0.529
5.214,-0.214,-0.000,0.176,0.529
5.211,-0.211,-0.000,0.176,0.529
5.209,-0.209,-0.000,0.176,0.529
5.207,-0.207,-0.000,0.176,0.529
5.205,-0.205,-0.000,0.176,0.529
5.203,-0.203,-0.000,0.176,0.529
5.201,-0.201,-0.000,0.176,0.529
5.199,-0.199,-0.000,0.176,0.529
5.197,-0.197,-0.000,0.176,0.529
5.195,-0.195,-0.000,0.176,0.529
5.193,-0.193,-0.000,0.176,0.529
5.191,-0.191,-0.000,0.176,0.529
5.189,-0.189,-0.000,0.176,0.529
5.187,-0.187,-0.000,0.176,0.529
5.186,-0.186,-0.000,0.176,0.529
5.184,-0.184,-0.000,0.176,0.529
5.182,-0.182,-0.000,0.176,0.529
5.180,-0.180,-0.000,0.176,0.528
5.178,-0.178,-0.000,0.176,0.528
5.176,-0.176,-0.000,0.176,0.528
5.175,-0.175,-0.000,0.176,0.528
5.173,-0.173,-0.000,0.176,0.528
5.171,-0.171,-0.000,0.176,0.528
5.170,-0.170,-0.000,0.176,0.528
5.168,-0.168,-0.000,0.176,0.528
5.166,-0.166,-0.000,0.176,0.528
5.165,-0.164,-0.000,0.176,0.528
5.163,-0.163,-0.000,0.176,0.528
5.161,-0.161,-0.000,0.176,0.528
5.160,-0.160,-0.000,0.176,0.528
5.158,-0.158,-0.000,0.176,0.528
5.156,-0.156,-0.000,0.176,0.528
5.155,-0.155,-0.000,0.176,0.528
5.153,-0.153,-0.000,0.176,0.528
5.152,-0.152,-0.000,0.176,0.528
5.150,-0.150,-0.000,0.176,0.528
5.149,-0.149,-0.000,0.176,0.528
5.147,-0.147,-0.000,0.176,0.528
5.146,-0.146,-0.000,0.176,0.528
5.144,-0.144,-0.000,0.176,0.528
5.143,-0.143,-0.000,0.176,0.527
5.141,-0.141,-0.000,0.176,0.527
5.140,-0.140,-0.000,0.176,0.527
5.139,-0.139,-0.000,0.176,0.527
5.137,-0.137,-0.000,0.176,0.527
5.136,-0.136,-0.000,0.176,0.527
5.135,-0.135,-0.000,0.176,0.527
5.133,-0.133,-0.000,0.176,0.527
5.132,-0.132,-0.000,0.176,0.527
5.131,-0.131,-0.000,0.176,0.527
5.129,-0.129,-0.000,0.176,0.527
5.128,-0.128,-0.000,0.176,0.527
5.127,-0.127,-0.000,0.176,0.527
5.125,-0.125,-0.000,0.176,0.527
5.124,-0.124,-0.000,0.176,0.527
5.123,-0.123,-0.000,0.176,0.527
5.122,-0.122,-0.000,0.176,0.527
5.120,-0.120,-0.000,0.176,0.527
5.119,-0.119,-0.000,0.176,0.527
5.118,-0.118,-0.000,0.176,0.527
5.117,-0.117,-0.000,0.176,0.527
5.116,-0.116,-0.000,0.176,0.527
5.115,-0.115,-0.000,0.176,0.527
5.113,-0.113,-0.000,0.176,0.527
5.112,-0.112,-0.000,0.176,0.527
5.111,-0.111,-0.000,0.176,0.527
5.110,-0.110,-0.000,0.176,0.527
5.109,-0.109,-0.000,0.176,0.527
5.108,-0.108,-0.000,0.176,0.527
5.107,-0.107,-0.000,0.176,0.527
5.106,-0.106,-0.000,0.175,0.526
5.105,-0.105,-0.000,0.175,0.526
5.104,-0.104,-0.000,0.175,0.526
5.103,-0.103,-0.000,0.175,0.526
5.102,-0.102,-0.000,0.175,0.526
5.101,-0.101,-0.000,0.175,0.526
5.100,-0.100,-0.000,0.175,0.526
5.099,-0.099,-0.000,0.175,0.526
5.098,-0.098,-0.000,0.175,0.526
5.097,-0.097,-0.000,0.175,0.526
5.096,-0.096,-0.000,0.175,0.526
5.095,-0.095,-0.000,0.175,0.526
5.094,-0.094,-0.000,0.175,0.526
5.093,-0.093,-0.000,0.175,0.526
5.092,-0.092,-0.000,0.175,0.526
5.091,-0.091,-0.000,0.175,0.526
5.090,-0.090,-0.000,0.175,0.526
5.089,-0.089,-0.000,0.175,0.526
5.088,-0.088,-0.000,0.175,0.526
5.087,-0.087,-0.000,0.175,0.526
5.086,-0.086,-0.000,0.175,0.526
5.086,-0.086,-0.000,0.175,0.526
5.085,-0.085,-0.000,0.175,0.526
5.084,-0.084,-0.000,0.175,0.526
5.083,-0.083,-0.000,0.175,0.526
5.082,-0.082,-0.000,0.175,0.526
5.081,-0.081,-0.000,0.175,0.526
5.081,-0.081,-0.000,0.175,0.526
5.080,-0.080,-0.000,0.175,0.526
5.079,-0.079,-0.000,0.175,0.526
5.078,-0.078,-0.000,0.175,0.526
5.077,-0.077,-0.000,0.175,0.526
5.077,-0.077,-0.000,0.175,0.526
5.076,-0.076,-0.000,0.175,0.526
5.075,-0.075,-0.000,0.175,0.526
5.074,-0.074,-0.000,0.175,0.526
5.074,-0.074,-0.000,0.175,0.526
5.073,-0.073,-0.000,0.175,0.526
5.072,-0.072,-0.000,0.175,0.526
5.071,-0.071,-0.000,0.175,0.526
5.071,-0.071,-0.000,0.175,0.526
5.070,-0.070,-0.000,0.175,0.526
5.069,-0.069,-0.000,0.175,0.526
5.069,-0.069,-0.000,0.175,0.526
5.068,-0.068,-0.000,0.175,0.525
5.067,-0.067,-0.000,0.175,0.525
5.067,-0.067,-0.000,0.175,0.525
5.066,-0.066,-0.000,0.175,0.525
5.065,-0.065,-0.000,0.175,0.525
5.065,-0.065,-0.000,0.175,0.525
5.064,-0.064,-0.000,0.175,0.525
5.063,-0.063,-0.000,0.175,0.525
5.063,-0.063,-0.000,0.175,0.525
5.062,-0.062,-0.000,0.175,0.525
5.061,-0.061,-0.000,0.175,0.525
5.061,-0.061,-0.000,0.175,0.525
5.060,-0.060,-0.000,0.175,0.525
5.060,-0.060,-0.000,0.175,0.525
5.059,-0.059,-0.000,0.175,0.525
5.058,-0.058,-0.000,0.175,0.525
5.058,-0.058,-0.000,0.175,0.525
5.057,-0.057,-0.000,0.175,0.525
5.057,-0.057,-0.000,0.175,0.525
5.056,-0.056,-0.000,0.175,0.525
5.056,-0.056,-0.000,0.175,0.525
5.055,-0.055,-0.000,0.175,0.525
5.054,-0.054,-0.000,0.175,0.525
5.054,-0.054,-0.000,0.175,0.525
5.053,-0.053,-0.000,0.175,0.525
5.053,-0.053,-0.000,0.175,0.525
5.052,-0.052,-0.000,0.175,0.525
5.052,-0.052,-0.000,0.175,0.525
5.051,-0.051,-0.000,0.175,0.525
5.051,-0.051,-0.000,0.175,0.525
5.050,-0.050,-0.000,0.175,0.525
5.050,-0.050,-0.000,0.175,0.525
5.049,-0.049,-0.000,0.175,0.525
5.049,-0.049,-0.000,0.175,0.525
5.048,-0.048,-0.000,0.175,0.525
5.048,-0.048,-0.000,0.175,0.525
5.047,-0.047,-0.000,0.175,0.525
5.047,-0.047,-0.000,0.175,0.525
5.046,-0.046,-0.000,0.175,0.525
5.046,-0.046,-0.000,0.175,0.525
5.045,-0.045,-0.000,0.175,0.525
5.045,-0.045,-0.000,0.175,0.525
5.045,-0.045,-0.000,0.175,0.525
5.044,-0.044,-0.000,0.175,0.525
5.044,-0.044,-0.000,0.175,0.525
5.043,-0.043,-0.000,0.175,0.525
5.043,-0.043,-0.000,0.175,0.525
5.042,-0.042,-0.000,0.175,0.525
5.042,-0.042,-0.000,0.175,0.525
5.042,-0.042,-0.000,0.175,0.525
5.041,-0.041,-0.000,0.175,0.525
5.041,-0.041,-0.000,0.175,0.525
5.040,-0.040,-0.000,0.175,0.525
5.040,-0.040,-0.000,0.175,0.525
5.039,-0.039,-0.000,0.175,0.525
5.039,-0.039,-0.000,0.175,0.525
5.039,-0.039,-0.000,0.175,0.525
5.038,-0.038,-0.000,0.175,0.525
5.038,-0.038,-0.000,0.175,0.525
5.038,-0.038,-0.000,0.175,0.525
5.037,-0.037,-0.000,0.175,0.525
5.037,-0.037,-0.000,0.175,0.525
5.036,-0.036,-0.000,0.175,0.525
5.036,-0.036,-0.000,0.175,0.525
5.036,-0.036,-0.000,0.175,0.525
5.035,-0.035,-0.000,0.175,0.525
5.035,-0.035,-0.000,0.175,0.525
5.035,-0.035,-0.000,0.175,0.525
5.034,-0.034,-0.000,0.175,0.525
5.034,-0.034,-0.000,0.175,0.525
5.034,-0.034,-0.000,0.175,0.525
5.033,-0.033,-0.000,0.175,0.525
5.033,-0.033,-0.000,0.175,0.525
5.033,-0.033,-0.000,0.175,0.525
5.032,-0.032,-0.000,0.175,0.525
5.032,-0.032,-0.000,0.175,0.525
5.032,-0.032,-0.000,0.175,0.525
5.031,-0.031,-0.000,0.175,0.525
5.031,-0.031,-0.000,0.175,0.525
5.031,-0.031,-0.000,0.175,0.524
5.030,-0.030,-0.000,0.175,0.524
5.030,-0.030,-0.000,0.175,0.524
5.030,-0.030,-0.000,0.175,0.524
5.030,-0.030,-0.000,0.175,0.524
5.029,-0.029,-0.000,0.175,0.524
5.029,-0.029,-0.000,0.175,0.524
5.029,-0.029,-0.000,0.175,0.524
5.028,-0.028,-0.000,0.175,0.524
5.028,-0.028,-0.000,0.175,0.524
5.028,-0.028,-0.000,0.175,0.524
5.027,-0.027,-0.000,0.175,0.524
5.027,-0.027,-0.000,0.175,0.524
5.027,-0.027,-0.000,0.175,0.524
5.027,-0.027,-0.000,0.175,0.524
5.026,-0.026,-0.000,0.175,0.524
5.026,-0.026,-0.000,0.175,0.524
5.026,-0.026,-0.000,0.175,0.524
5.026,-0.026,-0.000,0.175,0.524
5.025,-0.025,-0.000,0.175,0.524
5.025,-0.025,-0.000,0.175,0.524
5.025,-0.025,-0.000,0.175,0.524
5.025,-0.025,-0.000,0.175,0.524
5.024,-0.024,-0.000,0.175,0.524
5.024,-0.024,-0.000,0.175,0.524
5.024,-0.024,-0.000,0.175,0.524
5.024,-0.024,-0.000,0.175,0.524
5.023,-0.023,-0.000,0.175,0.524
5.023,-0.023,-0.000,0.175,0.524
5.023,-0.023,-0.000,0.175,0.524
5.023,-0.023,-0.000,0.175,0.524
5.022,-0.022,-0.000,0.175,0.524
5.022,-0.022,-0.000,0.175,0.524
